calendar_date,year,month,day_of_week,season,is_weekend,is_holiday,temperature
2023-01-01,2023,1,Sunday,Winter,1,1,45
2023-01-02,2023,1,Monday,Winter,0,0,41
2023-01-03,2023,1,Tuesday,Winter,0,0,46
2023-01-04,2023,1,Wednesday,Winter,0,0,52
2023-01-05,2023,1,Thursday,Winter,0,0,40
2023-01-06,2023,1,Friday,Winter,0,0,40
2023-01-07,2023,1,Saturday,Winter,1,0,53
2023-01-08,2023,1,Sunday,Winter,1,0,47
2023-01-09,2023,1,Monday,Winter,0,0,38
2023-01-10,2023,1,Tuesday,Winter,0,0,45
2023-01-11,2023,1,Wednesday,Winter,0,0,38
2023-01-12,2023,1,Thursday,Winter,0,0,38
2023-01-13,2023,1,Friday,Winter,0,0,43
2023-01-14,2023,1,Saturday,Winter,1,0,28
2023-01-15,2023,1,Sunday,Winter,1,0,29
2023-01-16,2023,1,Monday,Winter,0,0,38
2023-01-17,2023,1,Tuesday,Winter,0,0,34
2023-01-18,2023,1,Wednesday,Winter,0,0,44
2023-01-19,2023,1,Thursday,Winter,0,0,35
2023-01-20,2023,1,Friday,Winter,0,0,32
2023-01-21,2023,1,Saturday,Winter,1,0,52
2023-01-22,2023,1,Sunday,Winter,1,0,40
2023-01-23,2023,1,Monday,Winter,0,0,42
2023-01-24,2023,1,Tuesday,Winter,0,0,32
2023-01-25,2023,1,Wednesday,Winter,0,0,38
2023-01-26,2023,1,Thursday,Winter,0,0,42
2023-01-27,2023,1,Friday,Winter,0,0,33
2023-01-28,2023,1,Saturday,Winter,1,0,44
2023-01-29,2023,1,Sunday,Winter,1,0,37
2023-01-30,2023,1,Monday,Winter,0,0,39
2023-01-31,2023,1,Tuesday,Winter,0,0,37
2023-02-01,2023,2,Wednesday,Winter,0,0,54
2023-02-02,2023,2,Thursday,Winter,0,0,41
2023-02-03,2023,2,Friday,Winter,0,0,34
2023-02-04,2023,2,Saturday,Winter,1,0,47
2023-02-05,2023,2,Sunday,Winter,1,0,33
2023-02-06,2023,2,Monday,Winter,0,0,43
2023-02-07,2023,2,Tuesday,Winter,0,0,28
2023-02-08,2023,2,Wednesday,Winter,0,0,32
2023-02-09,2023,2,Thursday,Winter,0,0,43
2023-02-10,2023,2,Friday,Winter,0,0,47
2023-02-11,2023,2,Saturday,Winter,1,0,43
2023-02-12,2023,2,Sunday,Winter,1,0,41
2023-02-13,2023,2,Monday,Winter,0,0,39
2023-02-14,2023,2,Tuesday,Winter,0,0,31
2023-02-15,2023,2,Wednesday,Winter,0,0,36
2023-02-16,2023,2,Thursday,Winter,0,0,38
2023-02-17,2023,2,Friday,Winter,0,0,49
2023-02-18,2023,2,Saturday,Winter,1,0,44
2023-02-19,2023,2,Sunday,Winter,1,0,29
2023-02-20,2023,2,Monday,Winter,0,0,44
2023-02-21,2023,2,Tuesday,Winter,0,0,39
2023-02-22,2023,2,Wednesday,Winter,0,0,37
2023-02-23,2023,2,Thursday,Winter,0,0,46
2023-02-24,2023,2,Friday,Winter,0,0,49
2023-02-25,2023,2,Saturday,Winter,1,0,48
2023-02-26,2023,2,Sunday,Winter,1,0,36
2023-02-27,2023,2,Monday,Winter,0,0,39
2023-02-28,2023,2,Tuesday,Winter,0,0,44
2023-03-01,2023,3,Wednesday,Spring,0,0,64
2023-03-02,2023,3,Thursday,Spring,0,0,54
2023-03-03,2023,3,Friday,Spring,0,0,56
2023-03-04,2023,3,Saturday,Spring,1,0,50
2023-03-05,2023,3,Sunday,Spring,1,0,49
2023-03-06,2023,3,Monday,Spring,0,0,63
2023-03-07,2023,3,Tuesday,Spring,0,0,67
2023-03-08,2023,3,Wednesday,Spring,0,0,57
2023-03-09,2023,3,Thursday,Spring,0,0,65
2023-03-10,2023,3,Friday,Spring,0,0,60
2023-03-11,2023,3,Saturday,Spring,1,0,53
2023-03-12,2023,3,Sunday,Spring,1,0,60
2023-03-13,2023,3,Monday,Spring,0,0,68
2023-03-14,2023,3,Tuesday,Spring,0,0,57
2023-03-15,2023,3,Wednesday,Spring,0,0,68
2023-03-16,2023,3,Thursday,Spring,0,0,39
2023-03-17,2023,3,Friday,Spring,0,0,63
2023-03-18,2023,3,Saturday,Spring,1,0,58
2023-03-19,2023,3,Sunday,Spring,1,0,55
2023-03-20,2023,3,Monday,Spring,0,0,58
2023-03-21,2023,3,Tuesday,Spring,0,0,44
2023-03-22,2023,3,Wednesday,Spring,0,0,56
2023-03-23,2023,3,Thursday,Spring,0,0,60
2023-03-24,2023,3,Friday,Spring,0,0,68
2023-03-25,2023,3,Saturday,Spring,1,0,54
2023-03-26,2023,3,Sunday,Spring,1,0,52
2023-03-27,2023,3,Monday,Spring,0,0,54
2023-03-28,2023,3,Tuesday,Spring,0,0,64
2023-03-29,2023,3,Wednesday,Spring,0,0,60
2023-03-30,2023,3,Thursday,Spring,0,0,54
2023-03-31,2023,3,Friday,Spring,0,0,61
2023-04-01,2023,4,Saturday,Spring,1,0,58
2023-04-02,2023,4,Sunday,Spring,1,0,64
2023-04-03,2023,4,Monday,Spring,0,0,53
2023-04-04,2023,4,Tuesday,Spring,0,0,55
2023-04-05,2023,4,Wednesday,Spring,0,0,55
2023-04-06,2023,4,Thursday,Spring,0,0,47
2023-04-07,2023,4,Friday,Spring,0,0,60
2023-04-08,2023,4,Saturday,Spring,1,0,59
2023-04-09,2023,4,Sunday,Spring,1,0,58
2023-04-10,2023,4,Monday,Spring,0,0,56
2023-04-11,2023,4,Tuesday,Spring,0,0,48
2023-04-12,2023,4,Wednesday,Spring,0,0,55
2023-04-13,2023,4,Thursday,Spring,0,0,55
2023-04-14,2023,4,Friday,Spring,0,0,52
2023-04-15,2023,4,Saturday,Spring,1,0,56
2023-04-16,2023,4,Sunday,Spring,1,0,60
2023-04-17,2023,4,Monday,Spring,0,0,71
2023-04-18,2023,4,Tuesday,Spring,0,0,59
2023-04-19,2023,4,Wednesday,Spring,0,0,59
2023-04-20,2023,4,Thursday,Spring,0,0,57
2023-04-21,2023,4,Friday,Spring,0,0,44
2023-04-22,2023,4,Saturday,Spring,1,0,57
2023-04-23,2023,4,Sunday,Spring,1,0,58
2023-04-24,2023,4,Monday,Spring,0,0,75
2023-04-25,2023,4,Tuesday,Spring,0,0,56
2023-04-26,2023,4,Wednesday,Spring,0,0,60
2023-04-27,2023,4,Thursday,Spring,0,0,57
2023-04-28,2023,4,Friday,Spring,0,0,49
2023-04-29,2023,4,Saturday,Spring,1,0,65
2023-04-30,2023,4,Sunday,Spring,1,0,63
2023-05-01,2023,5,Monday,Spring,0,0,63
2023-05-02,2023,5,Tuesday,Spring,0,0,51
2023-05-03,2023,5,Wednesday,Spring,0,0,67
2023-05-04,2023,5,Thursday,Spring,0,0,48
2023-05-05,2023,5,Friday,Spring,0,0,62
2023-05-06,2023,5,Saturday,Spring,1,0,73
2023-05-07,2023,5,Sunday,Spring,1,0,51
2023-05-08,2023,5,Monday,Spring,0,0,54
2023-05-09,2023,5,Tuesday,Spring,0,0,58
2023-05-10,2023,5,Wednesday,Spring,0,0,54
2023-05-11,2023,5,Thursday,Spring,0,0,47
2023-05-12,2023,5,Friday,Spring,0,0,58
2023-05-13,2023,5,Saturday,Spring,1,0,50
2023-05-14,2023,5,Sunday,Spring,1,0,61
2023-05-15,2023,5,Monday,Spring,0,0,51
2023-05-16,2023,5,Tuesday,Spring,0,0,68
2023-05-17,2023,5,Wednesday,Spring,0,0,52
2023-05-18,2023,5,Thursday,Spring,0,0,55
2023-05-19,2023,5,Friday,Spring,0,0,63
2023-05-20,2023,5,Saturday,Spring,1,0,49
2023-05-21,2023,5,Sunday,Spring,1,0,59
2023-05-22,2023,5,Monday,Spring,0,0,67
2023-05-23,2023,5,Tuesday,Spring,0,0,46
2023-05-24,2023,5,Wednesday,Spring,0,0,59
2023-05-25,2023,5,Thursday,Spring,0,0,59
2023-05-26,2023,5,Friday,Spring,0,0,63
2023-05-27,2023,5,Saturday,Spring,1,0,49
2023-05-28,2023,5,Sunday,Spring,1,0,48
2023-05-29,2023,5,Monday,Spring,0,1,61
2023-05-30,2023,5,Tuesday,Spring,0,0,60
2023-05-31,2023,5,Wednesday,Spring,0,0,59
2023-06-01,2023,6,Thursday,Summer,0,0,80
2023-06-02,2023,6,Friday,Summer,0,0,73
2023-06-03,2023,6,Saturday,Summer,1,0,79
2023-06-04,2023,6,Sunday,Summer,1,0,80
2023-06-05,2023,6,Monday,Summer,0,0,72
2023-06-06,2023,6,Tuesday,Summer,0,0,91
2023-06-07,2023,6,Wednesday,Summer,0,0,81
2023-06-08,2023,6,Thursday,Summer,0,0,69
2023-06-09,2023,6,Friday,Summer,0,0,82
2023-06-10,2023,6,Saturday,Summer,1,0,71
2023-06-11,2023,6,Sunday,Summer,1,0,83
2023-06-12,2023,6,Monday,Summer,0,0,86
2023-06-13,2023,6,Tuesday,Summer,0,0,72
2023-06-14,2023,6,Wednesday,Summer,0,0,84
2023-06-15,2023,6,Thursday,Summer,0,0,80
2023-06-16,2023,6,Friday,Summer,0,0,83
2023-06-17,2023,6,Saturday,Summer,1,0,91
2023-06-18,2023,6,Sunday,Summer,1,0,76
2023-06-19,2023,6,Monday,Summer,0,0,72
2023-06-20,2023,6,Tuesday,Summer,0,0,71
2023-06-21,2023,6,Wednesday,Summer,0,0,72
2023-06-22,2023,6,Thursday,Summer,0,0,77
2023-06-23,2023,6,Friday,Summer,0,0,80
2023-06-24,2023,6,Saturday,Summer,1,0,79
2023-06-25,2023,6,Sunday,Summer,1,0,83
2023-06-26,2023,6,Monday,Summer,0,0,78
2023-06-27,2023,6,Tuesday,Summer,0,0,88
2023-06-28,2023,6,Wednesday,Summer,0,0,76
2023-06-29,2023,6,Thursday,Summer,0,0,97
2023-06-30,2023,6,Friday,Summer,0,0,82
2023-07-01,2023,7,Saturday,Summer,1,0,71
2023-07-02,2023,7,Sunday,Summer,1,0,70
2023-07-03,2023,7,Monday,Summer,0,0,81
2023-07-04,2023,7,Tuesday,Summer,0,1,76
2023-07-05,2023,7,Wednesday,Summer,0,0,82
2023-07-06,2023,7,Thursday,Summer,0,0,81
2023-07-07,2023,7,Friday,Summer,0,0,77
2023-07-08,2023,7,Saturday,Summer,1,0,72
2023-07-09,2023,7,Sunday,Summer,1,0,67
2023-07-10,2023,7,Monday,Summer,0,0,74
2023-07-11,2023,7,Tuesday,Summer,0,0,83
2023-07-12,2023,7,Wednesday,Summer,0,0,79
2023-07-13,2023,7,Thursday,Summer,0,0,69
2023-07-14,2023,7,Friday,Summer,0,0,79
2023-07-15,2023,7,Saturday,Summer,1,0,80
2023-07-16,2023,7,Sunday,Summer,1,0,71
2023-07-17,2023,7,Monday,Summer,0,0,79
2023-07-18,2023,7,Tuesday,Summer,0,0,78
2023-07-19,2023,7,Wednesday,Summer,0,0,69
2023-07-20,2023,7,Thursday,Summer,0,0,80
2023-07-21,2023,7,Friday,Summer,0,0,81
2023-07-22,2023,7,Saturday,Summer,1,0,85
2023-07-23,2023,7,Sunday,Summer,1,0,85
2023-07-24,2023,7,Monday,Summer,0,0,68
2023-07-25,2023,7,Tuesday,Summer,0,0,71
2023-07-26,2023,7,Wednesday,Summer,0,0,81
2023-07-27,2023,7,Thursday,Summer,0,0,81
2023-07-28,2023,7,Friday,Summer,0,0,81
2023-07-29,2023,7,Saturday,Summer,1,0,100
2023-07-30,2023,7,Sunday,Summer,1,0,81
2023-07-31,2023,7,Monday,Summer,0,0,85
2023-08-01,2023,8,Tuesday,Summer,0,0,84
2023-08-02,2023,8,Wednesday,Summer,0,0,82
2023-08-03,2023,8,Thursday,Summer,0,0,75
2023-08-04,2023,8,Friday,Summer,0,0,83
2023-08-05,2023,8,Saturday,Summer,1,0,72
2023-08-06,2023,8,Sunday,Summer,1,0,76
2023-08-07,2023,8,Monday,Summer,0,0,74
2023-08-08,2023,8,Tuesday,Summer,0,0,78
2023-08-09,2023,8,Wednesday,Summer,0,0,94
2023-08-10,2023,8,Thursday,Summer,0,0,64
2023-08-11,2023,8,Friday,Summer,0,0,82
2023-08-12,2023,8,Saturday,Summer,1,0,66
2023-08-13,2023,8,Sunday,Summer,1,0,74
2023-08-14,2023,8,Monday,Summer,0,0,85
2023-08-15,2023,8,Tuesday,Summer,0,0,78
2023-08-16,2023,8,Wednesday,Summer,0,0,70
2023-08-17,2023,8,Thursday,Summer,0,0,72
2023-08-18,2023,8,Friday,Summer,0,0,82
2023-08-19,2023,8,Saturday,Summer,1,0,72
2023-08-20,2023,8,Sunday,Summer,1,0,79
