customer_id,segment_id,signup_date,region
1,2,2025-05-01,East
2,2,2022-05-30,West
3,1,2024-01-29,West
4,1,2024-02-18,West
5,4,2024-08-30,South
6,4,2024-02-02,North
7,1,2024-09-28,East
8,4,2025-09-01,Central
9,2,2022-03-17,East
10,3,2023-08-22,Central
11,2,2025-07-17,Central
12,2,2022-08-13,North
13,2,2022-04-23,West
14,2,2022-09-08,West
15,1,2025-06-10,Central
16,1,2024-04-20,Central
17,2,2023-12-15,West
18,2,2025-01-11,South
19,1,2022-05-05,Central
20,2,2025-04-13,North
21,4,2024-12-28,Central
22,1,2024-12-06,Central
23,2,2024-06-02,South
24,2,2025-07-03,West
25,3,2022-01-30,East
26,1,2022-10-08,East
27,2,2024-07-12,South
28,3,2025-06-14,Central
29,4,2025-06-25,Central
30,2,2023-01-03,Central
31,2,2023-05-10,North
32,2,2024-11-14,Central
33,3,2023-12-19,West
34,2,2024-10-13,South
35,1,2025-08-30,North
36,4,2023-08-29,South
37,2,2023-01-10,Central
38,2,2023-10-01,West
39,1,2024-11-14,West
40,2,2025-09-19,South
41,2,2025-10-10,West
42,2,2022-04-26,North
43,1,2022-02-17,South
44,2,2022-04-09,West
45,4,2023-02-09,North
46,1,2025-05-22,Central
47,4,2023-11-16,South
48,2,2024-06-21,West
49,3,2023-05-18,East
50,3,2024-06-12,West
51,2,2022-09-15,North
52,3,2024-04-23,North
53,3,2022-05-01,Central
54,2,2024-03-20,South
55,2,2024-09-04,Central
56,2,2022-02-23,Central
57,3,2024-10-15,South
58,3,2025-09-16,South
59,3,2024-02-23,West
60,2,2022-08-29,Central
61,3,2023-04-28,Central
62,1,2024-10-09,East
63,2,2022-07-06,Central
64,1,2023-10-18,North
65,2,2022-09-19,Central
66,2,2024-08-10,Central
67,2,2025-10-19,North
68,2,2023-05-06,South
69,2,2023-03-07,North
70,2,2022-08-27,South
71,1,2022-10-31,Central
72,2,2022-10-25,South
73,1,2022-03-17,North
74,1,2025-09-18,South
75,2,2024-09-25,Central
76,2,2023-10-04,West
77,2,2024-04-06,East
78,2,2022-10-10,North
79,2,2023-08-14,Central
80,3,2022-03-13,Central
81,2,2025-07-10,South
82,2,2023-12-04,North
83,1,2023-07-29,North
84,2,2024-09-26,North
85,2,2024-06-10,East
86,2,2022-01-12,Central
87,2,2022-05-21,East
88,2,2022-01-17,Central
89,2,2024-12-22,East
90,3,2022-09-10,West
91,3,2023-04-10,West
92,2,2023-01-11,North
93,4,2024-09-07,South
94,1,2023-06-04,West
95,1,2022-03-31,North
96,1,2023-12-21,South
97,2,2024-03-14,East
98,3,2024-03-06,Central
99,1,2023-09-22,East
100,4,2025-04-13,Central
101,1,2022-03-17,East
102,4,2024-07-14,Central
103,2,2023-02-04,West
104,1,2024-08-27,Central
105,2,2024-12-30,East
106,1,2025-04-18,West
107,1,2025-02-21,West
108,2,2025-08-09,East
109,3,2024-03-07,North
110,2,2022-07-14,North
111,2,2022-08-16,North
112,2,2023-04-06,Central
113,2,2023-09-10,South
114,1,2024-11-10,South
115,2,2022-03-05,West
116,1,2022-06-14,South
117,1,2022-01-27,East
118,2,2025-08-27,North
119,1,2024-10-08,Central
120,2,2022-10-12,Central
121,2,2022-10-08,Central
122,1,2024-04-17,East
123,2,2024-04-10,Central
124,1,2025-04-02,North
125,4,2024-07-06,North
126,2,2022-08-12,North
127,3,2024-02-23,East
128,2,2025-03-15,East
129,1,2024-08-22,East
130,2,2024-08-07,North
131,4,2024-11-19,East
132,2,2022-02-14,West
133,3,2023-04-16,East
134,3,2022-02-03,West
135,1,2023-10-15,South
136,1,2024-04-09,Central
137,2,2022-08-09,East
138,2,2023-06-18,South
139,3,2023-11-23,South
140,3,2025-10-22,West
141,2,2024-07-20,Central
142,1,2024-04-20,East
143,3,2024-10-07,South
144,1,2023-08-05,Central
145,3,2025-02-13,West
146,2,2022-08-27,East
147,2,2025-09-20,East
148,1,2023-03-17,South
149,2,2022-05-28,West
150,2,2024-10-29,South
151,2,2025-08-04,Central
152,1,2023-01-23,East
153,3,2024-12-09,East
154,3,2024-07-04,East
155,1,2023-09-30,Central
156,1,2022-10-05,Central
157,1,2024-09-15,East
158,2,2025-08-16,West
159,2,2023-08-12,East
160,2,2023-10-11,East
161,1,2023-09-10,South
162,2,2022-05-15,East
163,2,2023-08-03,South
164,2,2025-03-16,Central
165,4,2023-05-05,South
166,1,2023-04-23,Central
167,2,2025-03-28,East
168,2,2023-01-19,West
169,2,2022-06-12,East
170,2,2023-03-17,North
171,2,2025-04-27,South
172,4,2023-02-19,North
173,1,2025-09-24,West
174,1,2025-04-19,East
175,3,2022-10-15,Central
176,2,2022-07-06,South
177,1,2025-03-07,North
178,1,2022-05-10,East
179,1,2022-07-13,Central
180,3,2022-11-12,West
181,1,2022-05-24,East
182,2,2022-01-16,East
183,1,2025-08-18,North
184,2,2023-02-27,Central
185,1,2022-09-02,West
186,2,2024-07-15,South
187,1,2025-02-04,East
188,3,2025-01-16,North
189,1,2022-05-09,Central
190,2,2024-06-25,North
191,3,2024-06-05,West
192,2,2022-12-07,South
193,2,2022-01-04,West
194,2,2025-09-12,Central
195,2,2022-11-02,West
196,2,2024-06-26,West
197,4,2023-08-30,Central
198,2,2025-06-02,North
199,2,2025-10-03,South
200,3,2024-09-18,South
201,2,2022-11-17,Central
202,1,2023-07-13,South
203,2,2025-04-19,West
204,4,2023-09-10,West
205,1,2023-12-12,South
206,2,2025-02-05,South
207,1,2023-06-15,South
208,2,2023-02-14,East
209,1,2025-08-12,South
210,2,2024-03-28,North
211,3,2025-04-09,Central
212,2,2025-09-16,Central
213,2,2023-05-08,South
214,3,2025-05-03,South
215,4,2022-01-12,North
216,1,2022-07-14,West
217,2,2023-05-05,Central
218,1,2024-03-05,North
219,4,2024-05-30,North
220,4,2022-07-01,Central
221,2,2024-08-19,West
222,3,2023-10-18,North
223,2,2025-09-01,West
224,2,2023-11-25,South
225,1,2022-01-30,South
226,3,2025-01-24,Central
227,1,2024-02-17,Central
228,3,2023-03-20,East
229,3,2022-10-25,Central
230,2,2024-03-18,East
231,1,2024-04-24,Central
232,2,2024-10-12,East
233,1,2025-10-16,Central
234,2,2025-10-29,Central
235,1,2023-07-08,North
236,4,2022-10-30,Central
237,2,2023-02-25,Central
238,2,2025-06-23,Central
239,2,2025-06-14,South
240,2,2022-07-04,Central
241,2,2023-04-13,Central
242,2,2024-01-24,South
243,3,2022-12-29,Central
244,2,2025-07-30,North
245,4,2022-12-02,North
246,3,2022-06-11,East
247,1,2025-03-29,East
248,4,2025-09-07,West
249,1,2022-01-12,North
250,3,2025-01-01,Central
251,2,2023-08-11,North
252,3,2022-07-20,North
253,3,2023-06-06,North
254,3,2023-05-20,East
255,3,2024-02-27,Central
256,2,2024-11-28,West
257,1,2022-03-01,Central
258,2,2023-08-01,North
259,1,2022-11-17,East
260,2,2024-07-11,East
261,2,2023-07-23,East
262,4,2025-01-06,North
263,2,2025-05-02,West
264,3,2025-08-01,East
265,1,2023-06-11,Central
266,3,2023-06-08,East
267,4,2023-09-05,North
268,2,2025-03-25,West
269,2,2025-09-25,North
270,3,2022-05-05,Central
271,1,2024-05-20,West
272,2,2022-10-07,North
273,2,2024-07-05,Central
274,1,2023-09-14,East
275,2,2024-04-25,North
276,1,2023-11-05,West
277,1,2025-02-25,South
278,1,2022-11-10,Central
279,4,2022-11-28,Central
280,2,2025-03-19,Central
281,4,2022-02-05,East
282,2,2024-11-11,East
283,2,2022-07-25,Central
284,2,2023-10-01,North
285,2,2024-04-27,East
286,1,2025-10-11,East
287,2,2023-03-16,North
288,1,2023-12-30,East
289,2,2025-01-24,Central
290,2,2024-07-29,Central
291,1,2022-06-13,North
292,1,2022-05-28,North
293,3,2022-10-21,South
294,2,2022-07-14,Central
295,1,2023-10-25,North
296,4,2023-04-25,West
297,1,2022-05-03,North
298,2,2023-11-30,West
299,4,2024-08-22,South
300,1,2023-10-23,Central
301,1,2025-02-01,South
302,1,2023-12-11,West
303,2,2023-01-31,South
304,1,2024-06-30,West
305,2,2025-09-22,Central
306,1,2024-10-01,North
307,2,2025-03-11,Central
308,4,2022-11-13,West
309,3,2023-11-12,North
310,2,2025-08-26,East
311,2,2023-05-10,North
312,2,2023-07-10,West
313,2,2023-09-02,Central
314,2,2022-04-19,North
315,1,2023-01-07,East
316,3,2024-05-04,Central
317,2,2023-09-08,Central
318,1,2024-02-07,East
319,2,2022-07-25,Central
320,2,2024-04-26,East
321,3,2022-02-12,South
322,3,2024-05-14,Central
323,3,2025-06-22,East
324,1,2025-08-03,East
