sale_date,daily_revenue,daily_gross_profit,total_units_sold,transaction_lines,year,month,day_of_week,season,is_weekend,is_holiday,temperature
2023-01-01,5911.79,3272.54,1221,21,2023,1,Sunday,Winter,1,1,45
2023-01-02,3699.1,2026.95,760,21,2023,1,Monday,Winter,0,0,41
2023-01-03,3737.85,2065.75,755,21,2023,1,Tuesday,Winter,0,0,46
2023-01-04,3468.32,1895.12,698,21,2023,1,Wednesday,Winter,0,0,52
2023-01-05,3328.1,1841.5,710,21,2023,1,Thursday,Winter,0,0,40
2023-01-06,4015.37,2184.62,833,21,2023,1,Friday,Winter,0,0,40
2023-01-07,4637.2,2484.05,770,21,2023,1,Saturday,Winter,1,0,53
2023-01-08,4432.17,2369.9700000000003,703,21,2023,1,Sunday,Winter,1,0,47
2023-01-09,3898.11,2117.5099999999998,709,21,2023,1,Monday,Winter,0,0,38
2023-01-10,3787.21,2044.21,689,21,2023,1,Tuesday,Winter,0,0,45
2023-01-11,3679.14,1992.69,716,21,2023,1,Wednesday,Winter,0,0,38
2023-01-12,3555.68,1936.58,692,21,2023,1,Thursday,Winter,0,0,38
2023-01-13,3523.27,1944.47,713,21,2023,1,Friday,Winter,0,0,43
2023-01-14,4387.05,2439.2,915,21,2023,1,Saturday,Winter,1,0,28
2023-01-15,4306.8,2352.5,980,21,2023,1,Sunday,Winter,1,0,29
2023-01-16,3255.1,1796.75,760,21,2023,1,Monday,Winter,0,0,38
2023-01-17,3539.95,1949.25,765,21,2023,1,Tuesday,Winter,0,0,34
2023-01-18,3439.72,1894.92,758,21,2023,1,Wednesday,Winter,0,0,44
2023-01-19,3671.6,2025.3000000000002,830,21,2023,1,Thursday,Winter,0,0,35
2023-01-20,3847.9,2086.4,720,21,2023,1,Friday,Winter,0,0,32
2023-01-21,4857.09,2684.49,1011,21,2023,1,Saturday,Winter,1,0,52
2023-01-22,4353.87,2418.72,863,21,2023,1,Sunday,Winter,1,0,40
2023-01-23,3775.05,2087.45,855,21,2023,1,Monday,Winter,0,0,42
2023-01-24,3275.78,1810.73,702,21,2023,1,Tuesday,Winter,0,0,32
2023-01-25,3878.12,2145.32,818,21,2023,1,Wednesday,Winter,0,0,38
2023-01-26,3618.7200000000003,1984.17,748,21,2023,1,Thursday,Winter,0,0,42
2023-01-27,3876.73,2116.63,707,21,2023,1,Friday,Winter,0,0,33
2023-01-28,4329.71,2355.46,779,21,2023,1,Saturday,Winter,1,0,44
2023-01-29,4417.08,2374.33,692,21,2023,1,Sunday,Winter,1,0,37
2023-01-30,3443.15,1920.9,755,21,2023,1,Monday,Winter,0,0,39
2023-01-31,3446.92,1906.27,788,21,2023,1,Tuesday,Winter,0,0,37
2023-02-01,3837.79,2121.24,891,21,2023,2,Wednesday,Winter,0,0,54
2023-02-02,3798.09,2120.54,901,21,2023,2,Thursday,Winter,0,0,41
2023-02-03,3545.2400000000002,1917.0900000000001,626,21,2023,2,Friday,Winter,0,0,34
2023-02-04,3957.55,2177.8,795,21,2023,2,Saturday,Winter,1,0,47
2023-02-05,3982.11,2211.81,909,21,2023,2,Sunday,Winter,1,0,33
2023-02-06,3497.59,1897.04,631,21,2023,2,Monday,Winter,0,0,43
2023-02-07,3599.0,1922.8,640,21,2023,2,Tuesday,Winter,0,0,28
2023-02-08,3799.07,2036.82,593,21,2023,2,Wednesday,Winter,0,0,32
2023-02-09,3716.17,2056.47,803,21,2023,2,Thursday,Winter,0,0,43
2023-02-10,3733.01,2032.96,699,21,2023,2,Friday,Winter,0,0,47
2023-02-11,4374.03,2417.78,947,21,2023,2,Saturday,Winter,1,0,43
2023-02-12,4755.79,2577.59,811,21,2023,2,Sunday,Winter,1,0,41
2023-02-13,3778.23,2066.38,747,21,2023,2,Monday,Winter,0,0,39
2023-02-14,3673.51,2037.26,819,21,2023,2,Tuesday,Winter,0,0,31
2023-02-15,3725.4900000000002,2055.09,801,21,2023,2,Wednesday,Winter,0,0,36
2023-02-16,3575.0099999999998,1952.91,789,21,2023,2,Thursday,Winter,0,0,38
2023-02-17,3546.55,1939.1499999999999,635,21,2023,2,Friday,Winter,0,0,49
2023-02-18,3963.8,2197.45,850,21,2023,2,Saturday,Winter,1,0,44
2023-02-19,4522.48,2491.83,1052,21,2023,2,Sunday,Winter,1,0,29
2023-02-20,3750.5,2066.0,810,21,2023,2,Monday,Winter,0,0,44
2023-02-21,3566.11,1947.16,719,21,2023,2,Tuesday,Winter,0,0,39
2023-02-22,3423.13,1878.78,677,21,2023,2,Wednesday,Winter,0,0,37
2023-02-23,3861.99,2118.79,821,21,2023,2,Thursday,Winter,0,0,46
2023-02-24,3949.35,2156.65,825,21,2023,2,Friday,Winter,0,0,49
2023-02-25,4140.95,2311.5,1015,21,2023,2,Saturday,Winter,1,0,48
2023-02-26,4339.14,2351.64,906,21,2023,2,Sunday,Winter,1,0,36
2023-02-27,3532.4,1966.55,810,21,2023,2,Monday,Winter,0,0,39
2023-02-28,3851.26,2103.2599999999998,754,21,2023,2,Tuesday,Winter,0,0,44
2023-03-01,4177.54,2307.99,866,21,2023,3,Wednesday,Spring,0,0,64
2023-03-02,4166.94,2334.84,906,21,2023,3,Thursday,Spring,0,0,54
2023-03-03,4268.37,2329.37,883,21,2023,3,Friday,Spring,0,0,56
2023-03-04,4596.42,2534.72,898,21,2023,3,Saturday,Spring,1,0,50
2023-03-05,4544.1,2526.4500000000003,1050,21,2023,3,Sunday,Spring,1,0,49
2023-03-06,3838.34,2127.44,796,21,2023,3,Monday,Spring,0,0,63
2023-03-07,4620.11,2561.46,999,21,2023,3,Tuesday,Spring,0,0,67
2023-03-08,4432.09,2458.59,1001,21,2023,3,Wednesday,Spring,0,0,57
2023-03-09,4374.88,2419.18,952,21,2023,3,Thursday,Spring,0,0,65
2023-03-10,4098.31,2269.86,829,21,2023,3,Friday,Spring,0,0,60
2023-03-11,5856.91,3180.56,1009,21,2023,3,Saturday,Spring,1,0,53
2023-03-12,5560.45,3023.65,1155,21,2023,3,Sunday,Spring,1,0,60
2023-03-13,4567.85,2515.25,925,21,2023,3,Monday,Spring,0,0,68
