inventory_id,inventory_date,product_id,stock_level,reorder_threshold,units_ordered
1,2023-01-01,1,258,120,0
2,2023-01-01,2,196,120,0
3,2023-01-01,3,205,120,0
4,2023-01-01,4,220,120,0
5,2023-01-01,5,200,120,0
6,2023-01-01,6,245,110,0
7,2023-01-01,7,160,110,0
8,2023-01-01,8,192,110,0
9,2023-01-01,9,162,110,0
10,2023-01-01,10,225,110,0
11,2023-01-01,11,77,60,0
12,2023-01-01,12,77,60,0
13,2023-01-01,13,96,60,0
14,2023-01-01,14,127,60,0
15,2023-01-01,15,117,55,0
16,2023-01-01,16,55,55,0
17,2023-01-01,17,107,55,0
18,2023-01-01,18,90,55,0
19,2023-01-01,19,42,30,0
20,2023-01-01,20,62,30,0
21,2023-01-01,21,55,30,0
22,2023-01-01,22,55,30,0
23,2023-01-01,23,188,108,0
24,2023-01-01,24,156,108,0
25,2023-01-01,25,180,108,0
26,2023-01-01,26,184,108,0
27,2023-01-01,27,55,45,0
28,2023-01-01,28,82,45,0
29,2023-01-01,29,93,45,0
30,2023-01-01,30,94,45,0
31,2023-01-08,1,155,120,0
32,2023-01-08,2,180,120,0
33,2023-01-08,3,225,120,0
34,2023-01-08,4,186,120,0
35,2023-01-08,5,165,120,0
36,2023-01-08,6,222,110,0
37,2023-01-08,7,169,110,0
38,2023-01-08,8,122,110,0
39,2023-01-08,9,206,110,0
40,2023-01-08,10,218,110,0
41,2023-01-08,11,88,60,0
42,2023-01-08,12,110,60,0
43,2023-01-08,13,60,60,0
44,2023-01-08,14,95,60,0
45,2023-01-08,15,79,55,0
46,2023-01-08,16,115,55,0
47,2023-01-08,17,112,55,0
48,2023-01-08,18,82,55,0
49,2023-01-08,19,45,30,0
50,2023-01-08,20,66,30,0
51,2023-01-08,21,63,30,0
52,2023-01-08,22,37,30,0
53,2023-01-08,23,168,108,0
54,2023-01-08,24,197,108,0
55,2023-01-08,25,191,108,0
56,2023-01-08,26,210,108,0
57,2023-01-08,27,64,45,0
58,2023-01-08,28,82,45,0
59,2023-01-08,29,75,45,0
60,2023-01-08,30,89,45,0
61,2023-01-15,1,168,120,0
62,2023-01-15,2,161,120,0
63,2023-01-15,3,213,120,0
64,2023-01-15,4,209,120,0
65,2023-01-15,5,184,120,0
66,2023-01-15,6,184,110,0
67,2023-01-15,7,175,110,0
68,2023-01-15,8,211,110,0
69,2023-01-15,9,175,110,0
70,2023-01-15,10,184,110,0
71,2023-01-15,11,85,60,0
72,2023-01-15,12,114,60,0
73,2023-01-15,13,95,60,0
74,2023-01-15,14,140,60,0
75,2023-01-15,15,79,55,0
76,2023-01-15,16,90,55,0
77,2023-01-15,17,90,55,0
78,2023-01-15,18,86,55,0
79,2023-01-15,19,64,30,0
80,2023-01-15,20,27,30,27
81,2023-01-15,21,57,30,0
82,2023-01-15,22,47,30,0
83,2023-01-15,23,190,108,0
84,2023-01-15,24,157,108,0
85,2023-01-15,25,176,108,0
86,2023-01-15,26,178,108,0
87,2023-01-15,27,62,45,0
88,2023-01-15,28,66,45,0
89,2023-01-15,29,105,45,0
90,2023-01-15,30,72,45,0
91,2023-01-22,1,193,120,0
92,2023-01-22,2,248,120,0
93,2023-01-22,3,222,120,0
94,2023-01-22,4,195,120,0
95,2023-01-22,5,186,120,0
96,2023-01-22,6,164,110,0
97,2023-01-22,7,252,110,0
98,2023-01-22,8,142,110,0
99,2023-01-22,9,138,110,0
100,2023-01-22,10,154,110,0
101,2023-01-22,11,73,60,0
102,2023-01-22,12,101,60,0
103,2023-01-22,13,113,60,0
104,2023-01-22,14,87,60,0
105,2023-01-22,15,74,55,0
106,2023-01-22,16,105,55,0
107,2023-01-22,17,92,55,0
108,2023-01-22,18,36,55,63
109,2023-01-22,19,29,30,25
110,2023-01-22,20,54,30,0
111,2023-01-22,21,64,30,0
112,2023-01-22,22,50,30,0
113,2023-01-22,23,183,108,0
114,2023-01-22,24,177,108,0
115,2023-01-22,25,201,108,0
116,2023-01-22,26,130,108,0
117,2023-01-22,27,76,45,0
118,2023-01-22,28,72,45,0
119,2023-01-22,29,69,45,0
120,2023-01-22,30,63,45,0
121,2023-01-29,1,198,120,0
122,2023-01-29,2,158,120,0
123,2023-01-29,3,173,120,0
124,2023-01-29,4,216,120,0
125,2023-01-29,5,198,120,0
126,2023-01-29,6,120,110,0
127,2023-01-29,7,216,110,0
128,2023-01-29,8,157,110,0
129,2023-01-29,9,193,110,0
130,2023-01-29,10,166,110,0
131,2023-01-29,11,95,60,0
132,2023-01-29,12,120,60,0
133,2023-01-29,13,78,60,0
134,2023-01-29,14,97,60,0
135,2023-01-29,15,72,55,0
136,2023-01-29,16,93,55,0
137,2023-01-29,17,50,55,49
138,2023-01-29,18,70,55,0
139,2023-01-29,19,65,30,0
140,2023-01-29,20,29,30,25
141,2023-01-29,21,44,30,0
142,2023-01-29,22,42,30,0
143,2023-01-29,23,183,108,0
144,2023-01-29,24,144,108,0
145,2023-01-29,25,178,108,0
146,2023-01-29,26,156,108,0
147,2023-01-29,27,54,45,0
148,2023-01-29,28,61,45,0
149,2023-01-29,29,70,45,0
150,2023-01-29,30,80,45,0
151,2023-02-05,1,155,120,0
152,2023-02-05,2,177,120,0
153,2023-02-05,3,213,120,0
154,2023-02-05,4,162,120,0
155,2023-02-05,5,169,120,0
156,2023-02-05,6,156,110,0
157,2023-02-05,7,198,110,0
158,2023-02-05,8,166,110,0
