sale_id,sale_date,customer_id,product_id,quantity_sold,revenue,gross_profit,payment_method
1,2023-01-01,485,2,49,342.51,156.31,Card
2,2023-01-01,1758,4,49,416.01,210.21,Card
3,2023-01-01,2292,1,97,338.53,163.93,Card
4,2023-01-01,1397,8,180,358.2,205.2,Card
5,2023-01-01,2207,10,85,339.15,190.4,Card
6,2023-01-01,1257,6,75,411.75,209.25,Cash
7,2023-01-01,1739,11,24,239.76,107.76,Card
8,2023-01-01,688,13,36,323.64,161.64,Card
9,2023-01-01,1208,14,99,395.01,206.91,Card
10,2023-01-01,1680,16,26,233.74,132.34,Cash
11,2023-01-01,626,17,42,230.58,138.18,Mobile Wallet
12,2023-01-01,1556,18,91,272.09,171.99,Cash
13,2023-01-01,1788,20,23,183.77,135.47,Mobile Wallet
14,2023-01-01,1202,21,10,199.9,134.9,Mobile Wallet
15,2023-01-01,1895,19,16,207.84,135.84,Card
16,2023-01-01,662,25,41,409.59,220.99,Card
17,2023-01-01,1811,23,200,358.0,228.0,Cash
18,2023-01-01,146,26,39,428.61,223.86,Mobile Wallet
19,2023-01-01,2359,28,25,87.25,56.0,Card
20,2023-01-01,1118,27,9,80.91,49.41,Card
21,2023-01-01,1360,29,5,54.95,33.95,Cash
22,2023-01-02,816,3,25,199.75,87.25,Card
23,2023-01-02,2421,4,26,220.74,111.54,Mobile Wallet
24,2023-01-02,368,2,28,195.72,89.32,Mobile Wallet
25,2023-01-02,683,6,47,258.03,131.13,Mobile Wallet
26,2023-01-02,256,7,87,242.73,138.33,Mobile Wallet
27,2023-01-02,553,8,109,216.91,124.26,Card
28,2023-01-02,1785,14,63,251.37,131.67,Mobile Wallet
29,2023-01-02,2182,11,21,209.79,94.29,Cash
30,2023-01-02,348,13,23,206.77,103.27,Card
31,2023-01-02,308,17,26,142.74,85.54,Cash
32,2023-01-02,99,16,17,152.83,86.53,Card
33,2023-01-02,2275,15,31,139.19,84.94,Card
34,2023-01-02,1069,22,3,74.97,46.47,Cash
35,2023-01-02,1628,19,10,129.9,84.9,Card
36,2023-01-02,1305,20,14,111.86,82.46,Card
37,2023-01-02,1704,26,25,274.75,143.5,Card
38,2023-01-02,304,23,152,272.08,173.28,Mobile Wallet
39,2023-01-02,2429,25,27,269.73,145.53,Card
40,2023-01-02,1415,30,11,49.39,32.89,Card
41,2023-01-02,2348,28,10,34.9,22.4,Card
42,2023-01-02,727,27,5,44.95,27.45,Mobile Wallet
43,2023-01-03,2053,4,29,246.21,124.41,Card
44,2023-01-03,1742,1,68,237.32,114.92,Card
45,2023-01-03,1252,5,57,187.53,96.33,Card
46,2023-01-03,2396,7,86,239.94,136.74,Card
47,2023-01-03,1725,6,45,247.05,125.55,Cash
48,2023-01-03,82,10,58,231.42,129.92,Cash
49,2023-01-03,1481,12,16,207.84,99.04,Mobile Wallet
50,2023-01-03,88,13,23,206.77,103.27,Mobile Wallet
51,2023-01-03,215,11,25,249.75,112.25,Cash
52,2023-01-03,155,17,29,159.21,95.41,Cash
53,2023-01-03,115,16,15,134.85,76.35,Card
54,2023-01-03,12,15,34,152.66,93.16,Card
55,2023-01-03,2014,20,13,103.87,76.57,Card
56,2023-01-03,2351,19,10,129.9,84.9,Card
57,2023-01-03,77,21,6,119.94,80.94,Card
58,2023-01-03,489,23,145,259.55,165.3,Card
59,2023-01-03,2420,24,42,251.58,133.98,Mobile Wallet
