search_id,search_date,search_term,search_frequency
1,2023-01-01,energy drinks,37
2,2023-01-01,phone charger,76
3,2023-01-01,protein snacks,74
4,2023-01-01,paper towels,16
5,2023-01-01,sparkling water,31
6,2023-01-01,usb c cable,31
7,2023-01-01,coffee,20
8,2023-01-01,sunscreen,58
9,2023-01-01,instant noodles,17
10,2023-01-01,laundry detergent,12
11,2023-01-02,energy drinks,18
12,2023-01-02,phone charger,18
13,2023-01-02,protein snacks,35
14,2023-01-02,paper towels,25
15,2023-01-02,sparkling water,41
16,2023-01-02,usb c cable,28
17,2023-01-02,coffee,87
18,2023-01-02,sunscreen,23
19,2023-01-02,instant noodles,43
20,2023-01-02,laundry detergent,66
21,2023-01-03,energy drinks,18
22,2023-01-03,phone charger,22
23,2023-01-03,protein snacks,76
24,2023-01-03,paper towels,65
25,2023-01-03,sparkling water,48
26,2023-01-03,usb c cable,44
27,2023-01-03,coffee,39
28,2023-01-03,sunscreen,57
29,2023-01-03,instant noodles,23
30,2023-01-03,laundry detergent,58
31,2023-01-04,energy drinks,13
32,2023-01-04,phone charger,18
33,2023-01-04,protein snacks,22
34,2023-01-04,paper towels,113
35,2023-01-04,sparkling water,56
36,2023-01-04,usb c cable,59
37,2023-01-04,coffee,19
38,2023-01-04,sunscreen,33
39,2023-01-04,instant noodles,30
40,2023-01-04,laundry detergent,73
41,2023-01-05,energy drinks,69
42,2023-01-05,phone charger,51
43,2023-01-05,protein snacks,44
44,2023-01-05,paper towels,123
45,2023-01-05,sparkling water,24
46,2023-01-05,usb c cable,44
47,2023-01-05,coffee,79
48,2023-01-05,sunscreen,47
49,2023-01-05,instant noodles,16
50,2023-01-05,laundry detergent,50
51,2023-01-06,energy drinks,78
52,2023-01-06,phone charger,18
53,2023-01-06,protein snacks,62
54,2023-01-06,paper towels,27
55,2023-01-06,sparkling water,47
56,2023-01-06,usb c cable,39
57,2023-01-06,coffee,73
58,2023-01-06,sunscreen,75
59,2023-01-06,instant noodles,69
60,2023-01-06,laundry detergent,41
61,2023-01-07,energy drinks,40
62,2023-01-07,phone charger,13
63,2023-01-07,protein snacks,15
64,2023-01-07,paper towels,88
65,2023-01-07,sparkling water,43
66,2023-01-07,usb c cable,13
67,2023-01-07,coffee,70
68,2023-01-07,sunscreen,29
69,2023-01-07,instant noodles,86
70,2023-01-07,laundry detergent,79
71,2023-01-08,energy drinks,41
72,2023-01-08,phone charger,66
73,2023-01-08,protein snacks,10
74,2023-01-08,paper towels,44
75,2023-01-08,sparkling water,62
76,2023-01-08,usb c cable,47
77,2023-01-08,coffee,77
78,2023-01-08,sunscreen,19
79,2023-01-08,instant noodles,59
80,2023-01-08,laundry detergent,30
81,2023-01-09,energy drinks,17
82,2023-01-09,phone charger,71
83,2023-01-09,protein snacks,26
84,2023-01-09,paper towels,96
85,2023-01-09,sparkling water,25
86,2023-01-09,usb c cable,35
87,2023-01-09,coffee,29
88,2023-01-09,sunscreen,31
89,2023-01-09,instant noodles,20
90,2023-01-09,laundry detergent,40
91,2023-01-10,energy drinks,70
92,2023-01-10,phone charger,77
93,2023-01-10,protein snacks,18
94,2023-01-10,paper towels,71
95,2023-01-10,sparkling water,14
96,2023-01-10,usb c cable,37
97,2023-01-10,coffee,86
98,2023-01-10,sunscreen,55
99,2023-01-10,instant noodles,89
100,2023-01-10,laundry detergent,45
101,2023-01-11,energy drinks,47
102,2023-01-11,phone charger,78
103,2023-01-11,protein snacks,77
104,2023-01-11,paper towels,45
105,2023-01-11,sparkling water,40
106,2023-01-11,usb c cable,50
107,2023-01-11,coffee,96
108,2023-01-11,sunscreen,29
109,2023-01-11,instant noodles,70
110,2023-01-11,laundry detergent,40
111,2023-01-12,energy drinks,18
112,2023-01-12,phone charger,26
113,2023-01-12,protein snacks,21
114,2023-01-12,paper towels,65
115,2023-01-12,sparkling water,56
116,2023-01-12,usb c cable,37
117,2023-01-12,coffee,76
118,2023-01-12,sunscreen,22
119,2023-01-12,instant noodles,14
120,2023-01-12,laundry detergent,66
121,2023-01-13,energy drinks,12
122,2023-01-13,phone charger,66
123,2023-01-13,protein snacks,32
124,2023-01-13,paper towels,92
125,2023-01-13,sparkling water,25
126,2023-01-13,usb c cable,49
127,2023-01-13,coffee,118
128,2023-01-13,sunscreen,22
129,2023-01-13,instant noodles,53
130,2023-01-13,laundry detergent,74
131,2023-01-14,energy drinks,26
132,2023-01-14,phone charger,78
133,2023-01-14,protein snacks,67
134,2023-01-14,paper towels,26
135,2023-01-14,sparkling water,36
136,2023-01-14,usb c cable,78
137,2023-01-14,coffee,80
138,2023-01-14,sunscreen,68
139,2023-01-14,instant noodles,76
140,2023-01-14,laundry detergent,32
141,2023-01-15,energy drinks,36
142,2023-01-15,phone charger,12
143,2023-01-15,protein snacks,18
144,2023-01-15,paper towels,57
145,2023-01-15,sparkling water,71
146,2023-01-15,usb c cable,42
147,2023-01-15,coffee,92
148,2023-01-15,sunscreen,79
149,2023-01-15,instant noodles,51
150,2023-01-15,laundry detergent,50
151,2023-01-16,energy drinks,33
152,2023-01-16,phone charger,37
153,2023-01-16,protein snacks,51
154,2023-01-16,paper towels,33
155,2023-01-16,sparkling water,73
156,2023-01-16,usb c cable,67
157,2023-01-16,coffee,100
158,2023-01-16,sunscreen,46
159,2023-01-16,instant noodles,96
160,2023-01-16,laundry detergent,25
161,2023-01-17,energy drinks,56
162,2023-01-17,phone charger,62
163,2023-01-17,protein snacks,69
164,2023-01-17,paper towels,70
165,2023-01-17,sparkling water,23
166,2023-01-17,usb c cable,23
167,2023-01-17,coffee,105
168,2023-01-17,sunscreen,64
169,2023-01-17,instant noodles,75
170,2023-01-17,laundry detergent,26
171,2023-01-18,energy drinks,62
172,2023-01-18,phone charger,77
173,2023-01-18,protein snacks,49
174,2023-01-18,paper towels,68
175,2023-01-18,sparkling water,56
176,2023-01-18,usb c cable,62
177,2023-01-18,coffee,26
178,2023-01-18,sunscreen,36
179,2023-01-18,instant noodles,60
180,2023-01-18,laundry detergent,20
181,2023-01-19,energy drinks,77
182,2023-01-19,phone charger,22
183,2023-01-19,protein snacks,41
184,2023-01-19,paper towels,44
185,2023-01-19,sparkling water,13
186,2023-01-19,usb c cable,20
187,2023-01-19,coffee,90
188,2023-01-19,sunscreen,46
189,2023-01-19,instant noodles,74
190,2023-01-19,laundry detergent,42
191,2023-01-20,energy drinks,52
192,2023-01-20,phone charger,61
193,2023-01-20,protein snacks,77
194,2023-01-20,paper towels,82
195,2023-01-20,sparkling water,54
196,2023-01-20,usb c cable,25
197,2023-01-20,coffee,89
198,2023-01-20,sunscreen,22
199,2023-01-20,instant noodles,91
200,2023-01-20,laundry detergent,26
